state_name,year,ethanol_beer_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_shots_liquor,number_of_drinks_total,beer_share_signal,spirit_share_signal,total_selected_signal,total_drinks_signal
Alaska,2012,1.17,1.13,2.83,277.3333,234.6148,603.7333,0.41342756183745577,0.3992932862190812,2.3,603.7333
Alaska,2013,1.07,1.17,2.75,253.6296,242.9197,586.6667,0.3890909090909091,0.4254545454545454,2.24,586.6667
Alaska,2014,1.11,1.17,2.8,263.1111,242.9197,597.3333,0.39642857142857146,0.41785714285714287,2.2800000000000002,597.3333
Alaska,2015,1.11,1.2,2.84,263.1111,249.1484,605.8667,0.39084507042253525,0.4225352112676056,2.31,605.8667
Alaska,2016,1.15,1.23,2.94,272.5926,255.3771,627.2,0.391156462585034,0.41836734693877553,2.38,627.2
Alaska,2017,1.06,1.22,2.81,251.2593,253.3009,599.4667,0.37722419928825623,0.43416370106761565,2.2800000000000002,599.4667
Alaska,2018,1.06,1.25,2.85,251.2593,259.5296,608.0,0.3719298245614035,0.43859649122807015,2.31,608.0
Alaska,2019,1.07,1.27,2.87,253.6296,263.6821,612.2667,0.37282229965156793,0.4425087108013937,2.34,612.2667
Alaska,2020,1.02,1.26,2.79,241.7778,261.6058,595.2,0.3655913978494624,0.45161290322580644,2.2800000000000002,595.2
Alaska,2021,1.01,1.27,2.79,239.4074,263.6821,595.2,0.36200716845878134,0.4551971326164875,2.2800000000000002,595.2
Alaska,2022,1.02,1.32,2.86,241.7778,274.0633,610.1333,0.35664335664335667,0.46153846153846156,2.34,610.1333
Alaska,2023,0.96,1.32,2.81,227.5556,274.0633,599.4667,0.34163701067615654,0.4697508896797153,2.2800000000000002,599.4667
Arizona,1977,1.6,0.99,2.92,379.2593,205.5474,622.9333,0.5479452054794521,0.339041095890411,2.59,622.9333
Arizona,1978,1.66,1.03,3.04,393.4815,213.8524,648.5333,0.5460526315789473,0.33881578947368424,2.69,648.5333
Arizona,1979,1.71,1.07,3.15,405.3333,222.1573,672.0,0.5428571428571428,0.3396825396825397,2.7800000000000002,672.0
Arizona,1980,1.68,0.97,3.01,398.2222,201.395,642.1333,0.5581395348837209,0.3222591362126246,2.65,642.1333
Arizona,1981,1.76,1.0,3.18,417.1852,207.6237,678.4,0.5534591194968553,0.31446540880503143,2.76,678.4
Arizona,1982,1.71,0.98,3.07,405.3333,203.4712,654.9333,0.5570032573289903,0.3192182410423453,2.69,654.9333
Arizona,1983,1.6,0.99,3.02,379.2593,205.5474,644.2667,0.5298013245033113,0.32781456953642385,2.59,644.2667
Arizona,1984,1.55,1.05,3.04,367.4074,218.0049,648.5333,0.5098684210526316,0.34539473684210525,2.6,648.5333
Arizona,1985,1.66,0.99,3.11,393.4815,205.5474,663.4667,0.5337620578778135,0.3183279742765273,2.65,663.4667
Arizona,1986,1.74,0.9,3.09,412.4444,186.8613,659.2,0.5631067961165048,0.29126213592233013,2.64,659.2
Arizona,1987,1.64,0.84,2.93,388.7407,174.4039,625.0667,0.5597269624573378,0.28668941979522183,2.48,625.0667
Arizona,1988,1.6,0.86,2.87,379.2593,178.5564,612.2667,0.5574912891986062,0.29965156794425085,2.46,612.2667
Arizona,1989,1.63,0.83,2.81,386.3704,172.3277,599.4667,0.5800711743772241,0.29537366548042704,2.46,599.4667
Arizona,1990,1.59,0.8,2.77,376.8889,166.0989,590.9333,0.5740072202166066,0.2888086642599278,2.39,590.9333
Arizona,1991,1.58,0.78,2.71,374.5185,161.9465,578.1333,0.5830258302583026,0.2878228782287823,2.3600000000000003,578.1333
Arizona,1992,1.58,0.8,2.69,374.5185,166.0989,573.8667,0.587360594795539,0.29739776951672864,2.38,573.8667
Arizona,1993,1.58,0.76,2.62,374.5185,157.794,558.9333,0.6030534351145038,0.2900763358778626,2.34,558.9333
Arizona,1994,1.52,0.7,2.5,360.2963,145.3366,533.3333,0.608,0.27999999999999997,2.2199999999999998,533.3333
Arizona,1995,1.47,0.68,2.44,348.4444,141.1841,520.5333,0.6024590163934426,0.27868852459016397,2.15,520.5333
Arizona,1996,1.52,0.73,2.58,360.2963,151.5653,550.4,0.5891472868217054,0.28294573643410853,2.25,550.4
Arizona,1997,1.45,0.68,2.44,343.7037,141.1841,520.5333,0.5942622950819673,0.27868852459016397,2.13,520.5333
Arizona,1998,1.44,0.68,2.45,341.3333,141.1841,522.6667,0.5877551020408163,0.27755102040816326,2.12,522.6667
Arizona,1999,1.47,0.69,2.51,348.4444,143.2603,535.4667,0.5856573705179283,0.2749003984063745,2.16,535.4667
Arizona,2000,1.48,0.71,2.5,350.8148,147.4128,533.3333,0.592,0.284,2.19,533.3333
Arizona,2001,1.47,0.7,2.5,348.4444,145.3366,533.3333,0.588,0.27999999999999997,2.17,533.3333
Arizona,2002,1.46,0.69,2.48,346.0741,143.2603,529.0667,0.5887096774193549,0.2782258064516129,2.15,529.0667
Arizona,2003,1.41,0.71,2.49,334.2222,147.4128,531.2,0.5662650602409638,0.2851405622489959,2.12,531.2
Arizona,2004,1.4,0.71,2.44,331.8519,147.4128,520.5333,0.5737704918032787,0.29098360655737704,2.11,520.5333
Arizona,2005,1.35,0.76,2.51,320.0,157.794,535.4667,0.5378486055776893,0.30278884462151395,2.1100000000000003,535.4667
Arizona,2006,1.34,0.79,2.51,317.6296,164.0227,535.4667,0.5338645418326694,0.31474103585657376,2.13,535.4667
Arizona,2007,1.39,0.78,2.51,329.4815,161.9465,535.4667,0.553784860557769,0.31075697211155384,2.17,535.4667
Arizona,2008,1.3,0.77,2.48,308.1481,159.8702,529.0667,0.5241935483870968,0.31048387096774194,2.0700000000000003,529.0667
Arizona,2009,1.22,0.77,2.38,289.1852,159.8702,507.7333,0.5126050420168068,0.3235294117647059,1.99,507.7333
Arizona,2010,1.23,0.76,2.39,291.5556,157.794,509.8667,0.5146443514644351,0.3179916317991632,1.99,509.8667
Arizona,2011,1.15,0.8,2.39,272.5926,166.0989,509.8667,0.48117154811715473,0.33472803347280333,1.95,509.8667
Arizona,2012,1.14,0.84,2.43,270.2222,174.4039,518.4,0.4691358024691357,0.345679012345679,1.98,518.4
Arizona,2013,1.12,0.81,2.35,265.4815,168.1752,501.3333,0.4765957446808511,0.3446808510638298,1.9300000000000002,501.3333
Arizona,2014,1.18,0.79,2.37,279.7037,164.0227,505.6,0.49789029535864976,0.3333333333333333,1.97,505.6
Arizona,2015,1.16,0.78,2.34,274.963,161.9465,499.2,0.49572649572649574,0.33333333333333337,1.94,499.2
Arizona,2016,1.14,0.79,2.32,270.2222,164.0227,494.9333,0.49137931034482757,0.3405172413793104,1.93,494.9333
Arizona,2017,1.11,0.79,2.29,263.1111,164.0227,488.5333,0.4847161572052402,0.34497816593886466,1.9000000000000001,488.5333
Arizona,2018,1.08,0.79,2.25,256.0,164.0227,480.0,0.48000000000000004,0.35111111111111115,1.87,480.0
Arizona,2019,1.06,0.8,2.23,251.2593,166.0989,475.7333,0.4753363228699552,0.3587443946188341,1.86,475.7333
Arizona,2020,1.09,0.84,2.31,258.3704,174.4039,492.8,0.47186147186147187,0.3636363636363636,1.9300000000000002,492.8
Arizona,2021,1.08,0.91,2.39,256.0,188.9376,509.8667,0.45188284518828453,0.3807531380753138,1.9900000000000002,509.8667
Arizona,2022,1.03,0.95,2.37,244.1481,197.2425,505.6,0.4345991561181434,0.4008438818565401,1.98,505.6
Arizona,2023,0.98,0.96,2.32,232.2963,199.3187,494.9333,0.4224137931034483,0.41379310344827586,1.94,494.9333
Arkansas,1977,0.89,0.61,1.61,210.963,126.6504,343.4667,0.5527950310559006,0.37888198757763975,1.5,343.4667
Arkansas,1978,0.95,0.71,1.76,225.1852,147.4128,375.4667,0.5397727272727273,0.4034090909090909,1.66,375.4667
Arkansas,1979,0.9,0.55,1.54,213.3333,114.193,328.5333,0.5844155844155844,0.35714285714285715,1.4500000000000002,328.5333
Arkansas,1980,1.0,0.68,1.81,237.037,141.1841,386.1333,0.5524861878453039,0.37569060773480667,1.6800000000000002,386.1333
Arkansas,1981,1.06,0.68,1.86,251.2593,141.1841,396.8,0.5698924731182796,0.3655913978494624,1.7400000000000002,396.8
Arkansas,1982,1.03,0.63,1.78,244.1481,130.8029,379.7333,0.5786516853932584,0.3539325842696629,1.6600000000000001,379.7333
Arkansas,1983,1.03,0.63,1.79,244.1481,130.8029,381.8667,0.5754189944134078,0.35195530726256985,1.6600000000000001,381.8667
Arkansas,1984,1.03,0.64,1.8,244.1481,132.8792,384.0,0.5722222222222222,0.35555555555555557,1.67,384.0
Arkansas,1985,1.04,0.59,1.77,246.5185,122.498,377.6,0.5875706214689266,0.3333333333333333,1.63,377.6
Arkansas,1986,1.08,0.49,1.65,256.0,101.7356,352.0,0.6545454545454547,0.296969696969697,1.57,352.0
Arkansas,1987,1.09,0.53,1.74,258.3704,110.0406,371.2,0.6264367816091955,0.3045977011494253,1.62,371.2
Arkansas,1988,1.09,0.54,1.78,258.3704,112.1168,379.7333,0.6123595505617978,0.30337078651685395,1.6300000000000001,379.7333
Arkansas,1989,1.1,0.58,1.82,260.7407,120.4217,388.2667,0.6043956043956045,0.31868131868131866,1.6800000000000002,388.2667
Arkansas,1990,1.12,0.61,1.86,265.4815,126.6504,396.8,0.6021505376344086,0.3279569892473118,1.73,396.8
Arkansas,1991,1.12,0.58,1.81,265.4815,120.4217,386.1333,0.6187845303867404,0.3204419889502762,1.7000000000000002,386.1333
Arkansas,1992,1.13,0.65,1.9,267.8519,134.9554,405.3333,0.5947368421052631,0.34210526315789475,1.7799999999999998,405.3333
Arkansas,1993,1.1,0.58,1.79,260.7407,120.4217,381.8667,0.6145251396648045,0.3240223463687151,1.6800000000000002,381.8667
Arkansas,1994,1.06,0.46,1.65,251.2593,95.5069,352.0,0.6424242424242425,0.2787878787878788,1.52,352.0
Arkansas,1995,1.06,0.51,1.68,251.2593,105.8881,358.4,0.630952380952381,0.3035714285714286,1.57,358.4
Arkansas,1996,1.07,0.53,1.72,253.6296,110.0406,366.9333,0.622093023255814,0.308139534883721,1.6,366.9333
Arkansas,1997,1.07,0.52,1.71,253.6296,107.9643,364.8,0.6257309941520468,0.304093567251462,1.59,364.8
Arkansas,1998,1.1,0.51,1.73,260.7407,105.8881,369.0667,0.6358381502890174,0.2947976878612717,1.61,369.0667
Arkansas,1999,1.09,0.54,1.75,258.3704,112.1168,373.3333,0.6228571428571429,0.3085714285714286,1.6300000000000001,373.3333
Arkansas,2000,1.09,0.53,1.74,258.3704,110.0406,371.2,0.6264367816091955,0.3045977011494253,1.62,371.2
Arkansas,2001,1.08,0.53,1.74,256.0,110.0406,371.2,0.6206896551724138,0.3045977011494253,1.61,371.2
Arkansas,2002,1.09,0.53,1.75,258.3704,110.0406,373.3333,0.6228571428571429,0.3028571428571429,1.62,373.3333
Arkansas,2003,1.06,0.56,1.77,251.2593,116.2693,377.6,0.5988700564971752,0.3163841807909605,1.62,377.6
Arkansas,2004,1.08,0.58,1.81,256.0,120.4217,386.1333,0.5966850828729282,0.3204419889502762,1.6600000000000001,386.1333
Arkansas,2005,1.04,0.58,1.78,246.5185,120.4217,379.7333,0.5842696629213483,0.32584269662921345,1.62,379.7333
Arkansas,2006,1.05,0.59,1.8,248.8889,122.498,384.0,0.5833333333333334,0.3277777777777778,1.6400000000000001,384.0
Arkansas,2007,1.05,0.59,1.81,248.8889,122.498,386.1333,0.580110497237569,0.3259668508287293,1.6400000000000001,386.1333
Arkansas,2008,1.09,0.59,1.86,258.3704,122.498,396.8,0.5860215053763441,0.31720430107526876,1.6800000000000002,396.8
Arkansas,2009,1.06,0.59,1.82,251.2593,122.498,388.2667,0.5824175824175825,0.32417582417582413,1.65,388.2667
Arkansas,2010,1.04,0.59,1.8,246.5185,122.498,384.0,0.5777777777777778,0.3277777777777778,1.63,384.0
Arkansas,2011,0.97,0.56,1.72,229.9259,116.2693,366.9333,0.563953488372093,0.32558139534883723,1.53,366.9333
Arkansas,2012,1.0,0.6,1.8,237.037,124.5742,384.0,0.5555555555555556,0.3333333333333333,1.6,384.0
Arkansas,2013,1.0,0.6,1.8,237.037,124.5742,384.0,0.5555555555555556,0.3333333333333333,1.6,384.0
Arkansas,2014,0.96,0.62,1.79,227.5556,128.7267,381.8667,0.5363128491620112,0.34636871508379885,1.58,381.8667
Arkansas,2015,0.97,0.65,1.83,229.9259,134.9554,390.4,0.5300546448087431,0.3551912568306011,1.62,390.4
Arkansas,2016,0.93,0.65,1.8,220.4444,134.9554,384.0,0.5166666666666667,0.3611111111111111,1.58,384.0
Arkansas,2017,0.92,0.67,1.82,218.0741,139.1079,388.2667,0.5054945054945055,0.36813186813186816,1.59,388.2667
Arkansas,2018,0.9,0.64,1.78,213.3333,132.8792,379.7333,0.5056179775280899,0.3595505617977528,1.54,379.7333
Arkansas,2019,0.87,0.7,1.81,206.2222,145.3366,386.1333,0.48066298342541436,0.38674033149171266,1.5699999999999998,386.1333
Arkansas,2020,0.92,0.76,1.94,218.0741,157.794,413.8667,0.4742268041237114,0.3917525773195876,1.6800000000000002,413.8667
Arkansas,2021,0.94,0.76,1.96,222.8148,157.794,418.1333,0.47959183673469385,0.3877551020408163,1.7,418.1333
Arkansas,2022,0.92,0.79,1.94,218.0741,164.0227,413.8667,0.4742268041237114,0.4072164948453609,1.71,413.8667
Arkansas,2023,0.88,0.75,1.87,208.5926,155.7178,398.9333,0.47058823529411764,0.40106951871657753,1.63,398.9333
California,1977,1.29,1.25,3.19,305.7778,259.5296,680.5333,0.4043887147335423,0.39184952978056425,2.54,680.5333
California,1978,1.33,1.29,3.28,315.2593,267.8345,699.7333,0.4054878048780488,0.3932926829268293,2.62,699.7333
California,1979,1.39,1.25,3.32,329.4815,259.5296,708.2667,0.4186746987951807,0.37650602409638556,2.6399999999999997,708.2667
California,1980,1.41,1.24,3.36,334.2222,257.4534,716.8,0.41964285714285715,0.36904761904761907,2.65,716.8
California,1981,1.43,1.2,3.35,338.963,249.1484,714.6667,0.426865671641791,0.3582089552238806,2.63,714.6667
California,1982,1.37,1.13,3.22,324.7407,234.6148,686.9333,0.4254658385093168,0.3509316770186335,2.5,686.9333
California,1983,1.36,1.1,3.21,322.3704,228.3861,684.8,0.42367601246105924,0.34267912772585674,2.46,684.8
California,1984,1.37,1.06,3.16,324.7407,220.0811,674.1333,0.4335443037974684,0.33544303797468356,2.43,674.1333
California,1985,1.32,1.02,3.11,312.8889,211.7762,663.4667,0.4244372990353698,0.3279742765273312,2.34,663.4667
California,1986,1.35,0.95,3.08,320.0,197.2425,657.0667,0.4383116883116883,0.3084415584415584,2.3,657.0667
California,1987,1.35,0.92,3.0,320.0,191.0138,640.0,0.45,0.3066666666666667,2.27,640.0
California,1988,1.32,0.88,2.86,312.8889,182.7088,610.1333,0.46153846153846156,0.3076923076923077,2.2,610.1333
California,1989,1.29,0.85,2.75,305.7778,176.4801,586.6667,0.4690909090909091,0.3090909090909091,2.14,586.6667
California,1990,1.32,0.87,2.78,312.8889,180.6326,593.0667,0.47482014388489213,0.3129496402877698,2.19,593.0667
California,1991,1.22,0.75,2.46,289.1852,155.7178,524.8,0.4959349593495935,0.3048780487804878,1.97,524.8
California,1992,1.28,0.75,2.54,303.4074,155.7178,541.8667,0.5039370078740157,0.2952755905511811,2.0300000000000002,541.8667
California,1993,1.17,0.69,2.35,277.3333,143.2603,501.3333,0.49787234042553186,0.2936170212765957,1.8599999999999999,501.3333
California,1994,1.09,0.68,2.24,258.3704,141.1841,477.8667,0.48660714285714285,0.30357142857142855,1.77,477.8667
California,1995,1.15,0.63,2.24,272.5926,130.8029,477.8667,0.5133928571428571,0.28125,1.7799999999999998,477.8667
California,1996,1.13,0.64,2.27,267.8519,132.8792,484.2667,0.49779735682819376,0.28193832599118945,1.77,484.2667
California,1997,1.14,0.62,2.28,270.2222,128.7267,486.4,0.5,0.2719298245614035,1.7599999999999998,486.4
California,1998,1.11,0.61,2.21,263.1111,126.6504,471.4667,0.5022624434389141,0.27601809954751133,1.7200000000000002,471.4667
California,1999,1.12,0.62,2.22,265.4815,128.7267,473.6,0.5045045045045045,0.27927927927927926,1.7400000000000002,473.6
California,2000,1.12,0.64,2.24,265.4815,132.8792,477.8667,0.5,0.2857142857142857,1.7600000000000002,477.8667
California,2001,1.09,0.63,2.2,258.3704,130.8029,469.3333,0.4954545454545454,0.2863636363636363,1.7200000000000002,469.3333
California,2002,1.08,0.64,2.21,256.0,132.8792,471.4667,0.4886877828054299,0.2895927601809955,1.7200000000000002,471.4667
California,2003,1.07,0.65,2.23,253.6296,134.9554,475.7333,0.47982062780269064,0.2914798206278027,1.7200000000000002,475.7333
California,2004,1.07,0.67,2.25,253.6296,139.1079,480.0,0.47555555555555556,0.2977777777777778,1.7400000000000002,480.0
California,2005,1.03,0.69,2.26,244.1481,143.2603,482.1333,0.4557522123893806,0.30530973451327437,1.72,482.1333
California,2006,1.02,0.7,2.29,241.7778,145.3366,488.5333,0.44541484716157204,0.3056768558951965,1.72,488.5333
California,2007,1.06,0.7,2.3,251.2593,145.3366,490.6667,0.46086956521739136,0.30434782608695654,1.76,490.6667
California,2008,1.05,0.7,2.3,248.8889,145.3366,490.6667,0.4565217391304348,0.30434782608695654,1.75,490.6667
California,2009,1.01,0.7,2.28,239.4074,145.3366,486.4,0.4429824561403509,0.30701754385964913,1.71,486.4
California,2010,0.97,0.71,2.16,229.9259,147.4128,460.8,0.449074074074074,0.32870370370370366,1.68,460.8
